Lon,Lat,Clave,Edo,Est,Tmax
-89.64,20.94,FAEYC,YUC,Fuerza AÈrea Yuc.,30.79310345
-89.65,20.95,MEOYC,YUC,Observatorio de MÈrida Yuc.,30.52413793
-89.58,20.98,EZAYC,YUC,Emiliano Zapata Yuc.,29.85714286
-89.66,20.98,GARYC,YUC,Organismo de Cuenca PenÌnsula de Yucat·n Yuc.,30.22413793
-89.64,21.03,CICYC,YUC,Centro de InvestigaciÛn CientÌfica Yuc.,31.23333333
-87.99,21.16,TIZIMIN,YUC,TizimÌn Yuc. SMN*,30.21666667
-89.65,21.28,PROYC,YUC,Progreso Yuc.,29.19642857
-87.68,21.51,CYOYC,YUC,El Cuyo Yuc.,29.08333333
-88.16,21.57,RLAYC,YUC,RÌo Lagartos Yuc.,28.88333333
-89.64,21.05,FIYYC,YUC,Fiuady Yuc.,29.72580645
-88.17,21.16,TIZYC,YUC,TizimÌn Yuc.,29.15
-89.05,20.03,TANYC,YUC,TantaquÌn Yuc.,31.01666667
-89.22,19.88,BECYC,YUC,BecanchÈn Yuc.,29.6
-89.68,20.65,ABAYC,YUC,Abal· Yuc.,26.98064516
-90.38,20.86,CELYC,YUC,Celest˙n Yuc. SMN*,29.66551724
-89.44,21.11,MOCYC,YUC,Mococh· Yuc.,29.63333333
-89.5,21.08,CONYC,YUC,Conkal Yuc.,29.11290323
-89.05,20.03,TNTYC,YUC,TantaquÌn Yuc. SMN*,30.47333333
-89.29,21.09,MTOYC,YUC,Motul Yuc.,31.18333333
-89.65,21.3,PROGRESOob,YUC,Observatorio de Progreso Yuc. SMN*,29.26086957
